SMILES CHEMBL_ID RTB
C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1/C=C/C1=CCOC1=O CHEMBL1099266 2
C/C=C\C[C@H]1C(=O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3 CHEMBL3349858 2
CO[C@H]1O[C@@](C)([C@H]2CC(C)=C(C)C(=O)O2)[C@H]2CC[C@H]3[C@@H]4CC=C5C(=O)C=CC(=O)[C@]5(C)[C@H]4CC[C@@]132 CHEMBL463448 2
CC(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC/C(=N\O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12 CHEMBL296418 2
O=C(C1CCOCC1)N1CC[C@H]2[C@@H](CO)Nc3ccc(Br)cc3[C@H]21 CHEMBL2135984 2
CC(C)[C@@H]1CC[C@H](O)[C@H]2[C@H]3[C@](C)(CC[C@]12CBr)[C@@H](Br)CC[C@@]3(C)O CHEMBL598468 2
C[C@@H]1c2cccc(O)c2C(=O)C2=C(O)[C@@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21 CHEMBL1372176 2
C[C@H]1O[C@@H](C[N+](C)(C)C)C[S@+]1[O-] CHEMBL3558102 2
CN1c2ccc(C#Cc3cccnc3)cc2[C@@H]2[C@@H](CCN2C(=O)c2cccc(F)c2)[C@@H]1CO CHEMBL3560860 2
CC[P@@]1(=O)O[C@H]([C@H]2COC(C)(C)O2)[C@@H]2OC(C)(C)O[C@@H]2[C@@H]1O CHEMBL3343410 2
O=c1ccn(C2O[C@H](CO)[C@@H](O)[C@H]2O)cc1 CHEMBL610129 2
C#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]c1=O CHEMBL374759 2
Cn1c2c(c3c1[C@@H]1Oc4c(O)ccc5c4[C@@]14CCN(CC1CC1)[C@H](C5)[C@]4(O)C3)CCCC2 CHEMBL610534 2
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@]23CCO3)c(=O)[nH]1 CHEMBL3121383 2
CC1(C)CCC[C@]2(C(=O)O)[C@@H]1CC[C@@]13C[C@@H](CC[C@H]12)[C@@](O)(CO)C3 CHEMBL4209350 2
O=C(/N=C1/NC(=O)[C@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)S1)c1cccc2ccccc12 CHEMBL3310894 2
C=C(CO)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12 CHEMBL3109320 2
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)Cc6c([nH]c7cc(Cl)cc(Cl)c67)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12 CHEMBL506845 2
C[C@]12CCC3C[C@@H](CCO)CCC3C1CC[C@@H]2O CHEMBL337772 2
Nc1nc(O)nc2nn(C3O[C@H](CO)[C@@H](O)[C@H]3O)nc12 CHEMBL605696 2
CC(=O)C[C@@H]1C(=O)O[C@@H]2C3=C(C)C(=O)C=C[C@]3(C)CC[C@@H]12 CHEMBL1630327 2
