doc_chembl_id	smarts	fraction_of_average_molecule_size
CHEMBL2034824	[#6]1:&@[#6,#7]:&@[#6]:&@[#6](:&@[#6]:&@[#7,#6]:&@1)-&!@[#6](-&!@[#6](=&!@[#8])-&!@[#7])-&!@[#7]1-&@[#6](=&!@[#8])-&@[#6](-&!@[#6]2-&@[#6]-&@[#6]3:&@[#6](-&@[#6]-&@2):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@3)-&@[#7]-&@[#6](-&@[#6]-&@1-&!@[#6]-&!@[#6]-&!@[#6])=&!@[#8]	0.8311345646437995
CHEMBL2057102	[#6]-&!@[#6]1:&@[#7]:&@[#7](-&!@[#6]):&@[#6](:&@[#6]2:&@[#6]:&@1:,-;@[#6]:,-;@[#16,#7]:,-;@[#6]:,-;@2-,=;!@[#7,#8])=&!@[#8]	0.5902547065337763
CHEMBL2062454	[#7]-&!@[#6]1:&@[#7]:&@[#6]2:&@[#7](:&@[#7]:&@1):&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@2)-&!@[#6]1:&@[#6]:&@[#6,#7]:&@[#6,#7]:&@[#7,#6]:&@[#6]:&@1	0.6772486772486772
CHEMBL2069214	[#6]-&!@[#6]1:&@[#7]:&@[#6](-&!@[#7]):&@[#6]2:&@[#6](:&@[#7]:&@1):&@[#7](:&@[#7,#6]:&@[#7,#6]:&@2)-&!@[#6]-&!@[#6]	0.5465909090909091
CHEMBL2157860	[#7]1-&@[#6]-&@[#6]-&@[#7,#6](-&@[#6]-&@[#6]-&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6](:&@[#6]:&@1)-&!@[#7,#6]1-,=;@[#6]-&@[#6]-&@[#6]-&@[#6]-&@[#6]-&@1)-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]1:&@[#6,#7]:&@[#6]:&@[#6](:&@[#8,#6,#7]:&@1)-&!@[#6]#&!@[#7]	0.849144634525661
CHEMBL2157993	[#8,#7]=&!@[#6](-&!@[#7]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#7]-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#7]-&!@[#6]	0.686030428769018
CHEMBL2157910	[#6,#9]-&!@[#6]-&!@[#6]1:&@[#7]:&@[#7]:&@[#6](:&@[#6]:&@1-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#8]-&!@[#6]1-&@[#8]-&@[#6](-&!@[#6]-&!@[#8])-&@[#6](-&@[#6](-&@[#6]-&@1-&!@[#8])-&!@[#8])-&!@[#8]	0.8556263269639066
CHEMBL2169770	[#6]-&!@[#6]-&!@[#7,#8]-&!@[#6](=&!@[#8])-&!@[#6]1-&@[#6]-&@[#6]-&@[#6](-&@[#6]-&@[#6]-&@1)-&!@[#7]1:&@[#6](=&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]2:&@[#6]:&@[#6]:&@[#6,#7]:&@[#6,#7]:&@[#6]:&@2):&@[#7]:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2	0.7274576271186441
CHEMBL2169772	[#7]-&!@[#6]1:&@[#7]:&@[#6]:&@[#7]:&@[#6]2:&@[#6]:&@1:&@[#7]:&@[#6](:&@[#7]:&@2-&!@[#6]-&!@[#6]-&!@[#6]1-,:;@[#6]-,:;@[#6]-,:;@[#7,#6,#8]-,:;@[#6]-,:;@[#6,#7]-,:;@1)-&!@[#16]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#35,#6,#17]	0.7931665649786455
CHEMBL2176971	[#7,#6,#8]-,=;!@[#16,#7,#8]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#7]1:&@[#6]2:&@[#6](:&@[#6]3:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@3)-&!@[#6,#7,#16])-&@[#6]-&@[#6]-&@[#6]-&@[#6]-&@2	0.6140350877192983
CHEMBL2176870	[#6,#7,#8,#9]-&!@[#6,#7,#16]-&!@[#6]1:&@[#6]:&@[#6](-&!@[#8,#9]):&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#8]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6,#7]:&@[#6,#7]:&@1	0.7760577915376677
CHEMBL2176973	[#6]-&!@[#8]-&!@[#6]1:&@[#6]:&@[#6](-&!@[#6]=&!@[#6]2-&@[#6,#8]-&@[#6]-&@[#6]-&@[#7]3-&@[#6]-&@2=&@[#7]-&@[#8]-&@[#6]-&@[#6]-&@3):&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#7]1:&@[#6]:&@[#7]:&@[#6](:&@[#6]:&@1)-&!@[#6]	0.7689556509298999
CHEMBL2321873	[#6]1:&@[#6]:&@[#6](-&!@[#7]2-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@2)-&!@[#6](=&!@[#8])-&!@[#6]-&!@[#7]2:&@[#7]:&@[#6](:&@[#6](:&@[#6]:&@2-&!@[#6])-&!@[#17,#6,#7,#9,#35,#53])-&!@[#6,#7,#16,#35]):&@[#6]:&@[#6]:&@[#6]:&@1	0.7853658536585366
CHEMBL2384910	[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6](-&!@[#6]-&!@[#6](-&!@[#8])-&!@[#6](-&!@[#7])-&!@[#6]-&!@[#7]1-&@[#6]-&@[#6](=&!@[#8])-&@[#7](-&@[#6]-&@[#6]-&@1(-&!@[#6])-&!@[#6])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#17,#6])-&!@[#6]	0.6433700335088559
CHEMBL2384934	[#6,#7,#8]-,=;!@[#7,#6]-&!@[#6,#7]-&!@[#7,#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]1:&@[#6]:&@[#6](:&@[#7]:&@[#7]:&@1)-&!@[#7]-&!@[#6]	0.4365758754863813
CHEMBL2385071	[#6]-&!@[#6]1:,-;@[#6]:,-;@[#6](=&!@[#8]):,-;@[#8]:,-;@[#6]2:&@[#6]:,-;@1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@2)-&!@[#8]-&!@[#6]-&!@[#6]-,=;!@[#6]-&!@[#7,#6]	0.5083056478405316
