assay_chembl_id	smarts	fraction_of_average_molecule_size
CHEMBL828215	[#6]-&!@[#6,#7]-&!@[#6](-&!@[#7,#6]-&!@[#6,#16](=,-;!@[#8,#6])-,=;!@[#6,#8])-&!@[#6](=,-;!@[#8])-&!@[#6,#7]1:,-;@[#7,#6,#16]:,-;@[#6]:,-;@[#6]:,-;@[#16,#6,#7,#8]:,-;@1	0.3532608695652174
CHEMBL831708	[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#7,#6]1-,:;@[#6]-,:;@[#6]-,:;@[#6]-,:;@[#6]-,:;@[#6]-,:;@1-&!@[#6]-&!@[#6,#7]1:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@1	0.537564162389174
CHEMBL884801	[#8,#6]=,-;!@[#16](=&!@[#8])(-,=;!@[#6,#8])-&!@[#7]1:&@[#6]:&@[#6](:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2)-&!@[#6]	0.5404277516953573
CHEMBL872182	[#6,#8,#17]-,=;!@[#6]1:,-,=;@[#6]:,-,=;@[#6]:,-;@[#6,#8]:,-;@[#6]:,-,=;@[#6]:,-;@1	0.3711681855840928
CHEMBL882493	[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]1(-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6])-&@[#6]-&@[#16](=&!@[#8])(=&!@[#8])-&@[#6]2:&@[#6](-&@[#6](-&@[#6]-&@1-&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6,#7]:&@[#6,#7]:&@[#6,#7]:&@1):&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@2)-&!@[#7](-&!@[#6])-&!@[#6]	0.8077378602447691
CHEMBL871626	[#7,#6,#8]-,=;!@[#6,#16](=,-;!@[#8,#6,#7,#16])-,=;!@[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]1:&@[#6]:&@[#16]:&@[#6]2:&@[#6]:&@1:&@[#6](:&@[#7]:&@[#6]:&@[#7]:&@2)-&!@[#7]	0.6863270777479893
CHEMBL880254	[#6,#7]-&!@[#7,#6]-&!@[#6](-&!@[#15](=&!@[#8])(-&!@[#8])-&!@[#8])-&!@[#15,#16](=&!@[#8])(-,=;!@[#8])-&!@[#8]	0.5207100591715976
CHEMBL880598	[#8]=&!@[#6](-&!@[#8])-&!@[#6](=&!@[#8])-&!@[#6]=&!@[#6](-&!@[#8,#6])-&!@[#6,#8]	0.42458899213724094
CHEMBL880577	[#8,#6]=,-;!@[#16](=&!@[#8])(-,=;!@[#6,#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#7,#6]:&@[#7,#6]:&@1)-,=;!@[#8,#9,#17,#35]	0.5596330275229358
CHEMBL862701	[#6,#7]-,#;!@[#7,#6]-&!@[#6]-&!@[#6,#7]-&!@[#7,#6]-&!@[#6]-&!@[#8,#6,#7]-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.46905167518455426
CHEMBL864514	[#6,#7]-&!@[#8,#6]-&!@[#6]-&!@[#6]-&!@[#8]-&!@[#6]1:&@[#6]:&@[#6]2:&@[#7]:&@[#6]:&@[#7]:&@[#6](:&@[#6]:&@2:&@[#6]:&@[#6]:&@1-&!@[#8]-&!@[#6])-&!@[#7]-&!@[#6]1=&@[#6]-&@[#6](=&!@[#8])-&@[#6]=&@[#6]-&@[#6]-&@1=&!@[#8]	0.7821330902461258
CHEMBL863355	[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#7](-&!@[#6]-&!@[#6](=,-;!@[#8,#7])-,=;!@[#7,#8])-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.5624201107797188
CHEMBL858719	[#8]=,-;!@[#6]1:&@[#6]:&@[#6](-,=;!@[#7]):&@[#8,#7]:&@[#6]2:&@[#6,#7]:&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2	0.4541317365269461
CHEMBL865131	[#6,#7]-,=;!@[#7,#6,#8]-,=;!@[#6,#7]-&!@[#6]-&!@[#6]-&!@[#7]1:&@[#6]:&@[#6]:&@[#7]:&@[#6]:&@1	0.4878048780487805
CHEMBL853597	[#6]1:&@[#6]:&@[#6]:&@[#6]2:&@[#6](:&@[#6]:&@1)-&@[#6]-&@[#6]-&@[#7]1-&@[#6]-&@2-&@[#6]2-&@[#6]-&@[#6]-&@[#6]-&@[#6](-&@[#7]-&@2-&!@[#16,#6](=,-;!@[#8,#6])-,=;!@[#7,#6,#8])-&@[#6]-&@1=&!@[#8]	0.6052998605299861
CHEMBL859660	[#8,#6,#7]-,=;!@[#7,#6](-,=;!@[#6,#7,#8])-&!@[#6,#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6](-&!@[#8])(-&!@[#6](-&!@[#9])(-&!@[#9])-&!@[#9])-&!@[#6](-&!@[#9])(-&!@[#9])-&!@[#9]	0.7084123972169513
CHEMBL865583	[#6,#9,#17,#35]-&!@[#6]1:&@[#6](-&!@[#8]):&@[#6]:&@[#6]:&@[#6]2:&@[#6]:&@1:,-;@[#8]:,-;@[#6](:,-;@[#6]1:&@[#6]:,-;@2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)=,-;!@[#8,#6]	0.8636748518204911
