chembl_id canonical_smiles
CHEMBL2282774 C[C@]12CC[C@H]3[C@@H](CNC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)NC(c1ccc(F)cc1)c1ccc(F)cc1
CHEMBL2282783 C[C@]12CC[C@H]3[C@@H](CNC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)OC1C2CC3CC(C2)CC1C3
CHEMBL335062 C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
CHEMBL5287077 C[C@]12CC[C@H](OC(=O)C3CCNCC3)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](c3ccc(=O)oc3)CC[C@]12O
CHEMBL4107982 C[C@]12CCCN1CC1=NNC(=O)c3cccc4[nH]c2c1c34
CHEMBL4216231 C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@H]1[C@@H]3C[C@H]4CN(c5cccc(Cl)c5)C[C@@]4(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
CHEMBL4213765 C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@H]1[C@@H]3C[C@H]4CN(Cc5ccc6ccccc6n5)C[C@@]4(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
CHEMBL1834538 C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@H]1[C@@H]3C[C@H]4O[C@@H](c5ccc(Cc6ccc(O)cc6)cc5)O[C@@]4(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
CHEMBL1834541 C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@H]1[C@@H]3C[C@H]4O[C@@H](c5ccc(CSc6ccccc6)cc5)O[C@@]4(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
CHEMBL1834544 C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@H]1[C@@H]3C[C@H]4O[C@@H](c5ccc(CSc6ccc(O)c(Cl)c6)cc5)O[C@@]4(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
CHEMBL314953 C[C@]12CCC(=O)C=C1NCC1C2CC[C@@]2(C)C1CC[C@@H]2C(=O)NC1(c2ccc(Cl)cc2)CCCC1
CHEMBL283430 C[C@]12CCC(=O)C(Cl)=C1NCC1C2CC[C@@]2(C)C1CC[C@@H]2C(=O)N(c1ccc(Cl)cc1)C1CCCC1
CHEMBL432439 C[C@]12C=CC(=O)NC1CCC1C2CC[C@]2(C)C(C(=O)Nc3cccc(C(F)(F)F)c3)CCC12
CHEMBL109170 C[C@]12C=CC(=O)NC1CCC1C2CC[C@]2(C)C(C(=O)Nc3ccc(Cl)cc3)CCC12
CHEMBL321617 C[C@]12C=CC(=O)NC1CCC1C2CC[C@]2(C)C(C(=O)Nc3ccc(F)cc3)CCC12
CHEMBL5410521 C[C@]12C[C@@H]3C[C@](C)(C1)C[C@@](NC(=O)Nc1ccc(CN4CCCC(C(=O)NCCO)C4)cc1F)(C3)C2
CHEMBL5403016 C[C@]12C[C@@H]3C[C@](C)(C1)C[C@@](NC(=O)Nc1ccc(CN4CCCC(C(=O)NC(CO)(CO)CO)C4)cc1F)(C3)C2
CHEMBL5412026 C[C@]12C[C@@H]3C[C@](C)(C1)C[C@@](NC(=O)Nc1ccc(CN4CCC(C(=O)N(CCO)CCO)CC4)cc1F)(C3)C2
CHEMBL5437028 C[C@]12C[C@@H]3C[C@](C)(C1)C[C@@](NC(=O)Nc1ccc(C(=O)N4CCC(C(=O)N(CO)CO)CC4)cc1F)(C3)C2
CHEMBL5417426 C[C@]12C[C@@H]3C[C@](C)(C1)C[C@@](NC(=O)Nc1ccc(C(=O)NC4CCC(C(N)=O)CC4)cc1F)(C3)C2
CHEMBL5425040 C[C@]12C[C@@H]3C[C@](C)(C1)C[C@@](NC(=O)Nc1ccc(C(=O)NC4CCC(C(=O)N(CCO)CCO)CC4)cc1F)(C3)C2
CHEMBL5424246 C[C@]12C[C@@H]3C[C@](C)(C1)C[C@@](NC(=O)Nc1ccc(C(=O)NC4CCC(C(=O)NC(CO)(CO)CO)CC4)cc1F)(C3)C2
CHEMBL4115318 CC12C[C@H]3C[C@@H](N4[C@@H]5CCC[C@H]4C[C@@H](n4c(=O)c(N6CC[C@@H]6C(=O)O)nc6ccccc64)C5)C[C@@H]1C[C@@H]2C3
CHEMBL4518283 C[C@]12C[C@H](c3ccc(OCCCCCS(=O)(=O)CCCC(F)(F)C(F)(F)F)cc3)[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
