smiles target_chembl_id target_index
CC(=O)N[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN=C(N)N)B(O)O CHEMBL204 0
CC(=O)N[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCCN)B(O)O CHEMBL204 0
CN(CC(=O)N[C@@H](CCCN=C(N)N)B(O)O)C(=O)CCc1ccccc1 CHEMBL204 0
NCCCC[C@H](NC(=O)CN(CCc1ccccc1)C(=O)CCc2ccccc2)B(O)O CHEMBL204 0
NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CCc2ccccc2)B(O)O CHEMBL204 0
NCCCC[C@H](NC(=O)CN(C1CC1)C(=O)CCc2ccccc2)B(O)O CHEMBL204 0
CS(=O)(=O)N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(cc4)C(=N)N CHEMBL204 0
NC(=N)c1csc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(=O)(=O)N)C(c3ccccc3)c4ccccc4)n1 CHEMBL204 0
NC(=N)c1oc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(=O)(=O)N)C(c3ccccc3)c4ccccc4)cc1 CHEMBL204 0
NC(=N)c1csc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(=O)(=O)N)C(c3ccccc3)c4ccccc4)c1 CHEMBL204 0
CN(C1CCCC1)C(=O)C(NS(=O)(=O)c2ccc3ccccc3c2)c4ccc(cc4)C(=N)NN CHEMBL204 0
NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(=O)(=O)N)C(c3ccccc3)c4ccccc4)s1 CHEMBL204 0
NC(=N)c1cc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(=O)(=O)N)C(c3ccccc3)c4ccccc4)cs1 CHEMBL204 0
NC(=N)c1occ(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(=O)(=O)N)C(c3ccccc3)c4ccccc4)c1 CHEMBL204 0
NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(=O)(=O)N)C(c3ccccc3)c4ccccc4)cn1 CHEMBL204 0
NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(=O)(=O)N)C(c3ccccc3)c4ccccc4)cc1F CHEMBL204 0
COC(=O)N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4csc(c4)C(=N)N CHEMBL204 0
COC(=O)N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(cc4)C(=N)N CHEMBL204 0
NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NCCC(=O)O)C(c3ccccc3)c4ccccc4)s1 CHEMBL204 0
NC(=N)c1csc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NCC(=O)O)C(c3ccccc3)c4ccccc4)n1 CHEMBL204 0
NC(=N)c1cc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NCC(=O)O)C(c3ccccc3)c4ccccc4)cs1 CHEMBL204 0
NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(=O)(=O)N)C(c3ccccc3)c4ccccc4)cc1 CHEMBL204 0
NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(=O)(=O)N)C(c3ccccc3)c4ccccc4)c(F)c1 CHEMBL204 0
COC(=O)N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4cc(cs4)C(=N)N CHEMBL204 0
