molregno	chembl_id	smiles
57218	CHEMBL290422	Fc1c(F)c(F)c(N2C3=NC(=O)NC(=O)C3=Nc4ccccc24)c(F)c1F
60603	CHEMBL38787	CN(C)c1nc(nc2c1nc(Br)n2Cc3ccc(C)cc3)C(F)(F)F
61061	CHEMBL296556	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)CC(CC)(CC)CCc1cccc2ccccc12
61306	CHEMBL411636	CC(C)C[C@H](NS(=O)(=O)c1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N
61376	CHEMBL41251	CC(C)C[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N
61664	CHEMBL433627	C[C@H](NC(=O)C(CCCN=C(N)N)NC(=O)C(c1ccccc1)c2ccccc2)c3ccccc3
61836	CHEMBL296636	CC(=O)N1CCc2c(C1)sc(NC(=O)C(C)(C)C)c2C(O)c3ccccc3Cl
61971	CHEMBL44179	CCCCCCCC\C=C\CCCCCCCC(=O)Nc1ccccc1OC
62005	CHEMBL41852	N[C@H](CCC(=O)N1[C@@H](Cc2ccccc12)C(=O)O)C(=O)O
62092	CHEMBL44360	CCCCCCCC\C=C\CCCCCCCC(=O)Nc1ccc(OC)cc1OC
62134	CHEMBL287733	COc1ccc(cc1)C(=O)c2c3CCN(Cc3sc2NC(=O)C)C(=O)C
62238	CHEMBL288241	CC(C)C(=O)Nc1sc2CN(CCc2c1C(=O)c3ccc(Cl)cc3)C(=O)C
63186	CHEMBL290530	Nc1sc2CNCCc2c1C(=O)c3ccccc3Cl
63350	CHEMBL46748	FC(F)(F)c1cc(CNC(=O)C[C@H]2S[C@@H](N(CC(=O)NCCCN3CCOCC3)C2=O)c4ccc(Cl)cc4Cl)ccc1Cl
63581	CHEMBL42065	CN1CCN(CC1)C(=O)CN2[C@H](S[C@H](CC(=O)NCc3cccc4ccccc34)C2=O)c5ccc(Cl)cc5Cl
63664	CHEMBL40377	C[C@H](NC(=O)C[C@H]1S[C@@H](N(CC(=O)NCCCN2CCOCC2)C1=O)c3ccc(Cl)cc3Cl)c4cccc5ccccc45
64587	CHEMBL288630	CC1=C(N2CC2)C(=O)c3c(OS(=O)(=O)c4ccc(cc4)C(C)(C)C)cccc3C1=O
66381	CHEMBL296849	CCCCCCCCCCOCCOCCOCC(COP(=O)([O-])Oc1cccc(C[n+]2ccsc2)c1)OC
66477	CHEMBL46615	CCCCCCCCCCCCCCOc1cccc(OP(=O)([O-])Oc2cccc(C[n+]3ccsc3CC(C)C)c2)c1OC
66933	CHEMBL296072	CCCCCCCCCCCCCCCCOc1ccc(OP(=O)([O-])Oc2cccc(C[n+]3csc(C)c3)c2)cc1
67008	CHEMBL42902	CCCCCCCCCCCCCCCCCCNC(=O)Sc1c(C)cccc1C
67036	CHEMBL410291	CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)NC(C)(Cc2ccccc2)C(=O)N
67176	CHEMBL44110	CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])Oc1cccc(C[n+]2csc(C)c2C)c1)OC
67373	CHEMBL47531	CCCCCCCCCCCCOc1ccc(OCC(COP(=O)([O-])Oc2cccc(C[n+]3ccsc3)c2)OC)c4ccccc14
67510	CHEMBL46972	CCCCCCCCCCOCCOCCOCC(COP(=O)([O-])Oc1cccc(C[n+]2csc(C)c2)c1)OC
67806	CHEMBL297777	CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N
68741	CHEMBL295041	CC(C)(C)OC(=O)N[C@](C)(Cc1ccccc1)C(=O)NC(Cc2ccccc2)C(=O)N
69535	CHEMBL295983	CC(C)C1=Cc2ccc3c(CC[C@@H](O)[C@]3(C)O)c2C(=O)C1=O
70059	CHEMBL297050	CC(C)(C)c1ncc(CCN)n1Cc2ccccc2
70262	CHEMBL47584	CC(=CCC\C(=C\CC\C(=C\CC\C=C(/C)\CCCO)\C)\C)C
70600	CHEMBL44486	NC(Cc1cnc(n1Cc2ccccc2)C34CC5CC(CC(C5)C3)C4)C(=O)O
70644	CHEMBL298472	COCc1ncc2C(=NNC(NCCN(C)C)n12)NCCN(C)C
70740	CHEMBL298641	CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O
70899	CHEMBL47913	CCOC(=O)CN1N=Cc2cnc(COC)n2C1=O
71539	CHEMBL297495	CCCc1nc(C)c2c(cnc(Nc3cc[nH]n3)n12)C(C)C
71652	CHEMBL297004	Cc1nc(N)nc(O)c1N(Cc2ccc(Cl)c(Cl)c2)N=O
71731	CHEMBL295604	CCCc1nc(Br)c2cnnc(O)n12
71732	CHEMBL46720	CCCc1nc(Br)c2c(Br)nnc(O)n12
72351	CHEMBL50432	CCCc1ccc(cc1)S(=O)(=O)N2C[C@H](S)C[C@H]2c3nnc(SC)n3c4ccccc4
72649	CHEMBL48985	CCN(CC)C(=O)\C=C\c1ccc(OC(C)c2ccccc2)cc1
72954	CHEMBL47871	COc1ccc(OC)c(c1)C2=NN(C(=N)S2)c3c(Cl)cc(cc3Cl)C(F)(F)F
72975	CHEMBL299105	CCCCc1nc(Cl)c(CO)n1Cc2ccc(NC(=O)C(Cc3ccccc3)n4cnnn4)cc2
73002	CHEMBL45682	Fc1c(cccc1C(F)(F)F)C2=NN(C(=N)S2)c3c(Cl)cc(Cl)cc3Cl
73263	CHEMBL299801	CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N2CCC(CCCC)CC2)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)[C@@H](O)CC(C)C
73721	CHEMBL296253	CCc1c(C)c([nH]c1C=O)C(=O)OCc2ccccc2
77937	CHEMBL298960	C[C@H]1C2[C@H](CCN2CC(=O)Cc3ccccc3)N(C(=O)C)C1=O
78229	CHEMBL298178	C[C@H]1C2[C@H](CCN2C(=O)C(=O)c3cccn3C)N(C(=O)C)C1=O
78365	CHEMBL50784	OC(=O)CCc1c([nH]c2cc(Oc3ccccc3)ccc12)C(=O)O
78398	CHEMBL52117	OC(=O)CCc1c([nH]c2cc(ccc12)C(F)(F)F)C(=O)O
78848	CHEMBL52848	CCCCCCCCCCCCCCCCCCCC1=C(N)C(=O)C2=C(N3C[C@@H]4N[C@@H]4[C@]3(OC)[C@@H]2COC(=O)N)C1=O
79051	CHEMBL51210	C[C@H]1C2[C@H](CCN2C(=O)OCc3ccccc3)N(C(=O)C4C(C)(C)C4(C)C)C1=O
79153	CHEMBL433080	CC(C)CC(NC(=O)Cc1ccc(F)cc1F)[C@@H](O)CC(=O)N[C@H](C(C)C)C(=O)N[C@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)O
80539	CHEMBL52799	COCCN(CCOC)S(=O)(=O)c1ccc(Cl)c(c1)[N+](=O)[O-]
80676	CHEMBL53082	[O-][N+](=O)c1cc(ccc1Cl)C(=O)c2ccc(Cl)c(c2)[N+](=O)[O-]
