doc_chembl_id	smarts	fraction_of_average_molecule_size
CHEMBL2439976	[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6](:&@[#8]:&@[#7]:&@1)-&!@[#6]1:&@[#6](-&!@[#8]):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#8]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.6876475216365067
CHEMBL3085648	[#7]#&!@[#6]-&!@[#6]1:&@[#6]:&@[#7]:&@[#6](:&@[#7]:&@1)-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1-&!@[#6]1=&@[#6]-&@[#6]-&@[#6]-&@[#6]-&@[#6]-&@1)-&!@[#6]	0.7303552206673843
CHEMBL3102825	[#8]=&!@[#6]1-&@[#7]-&@[#6](-&@[#7]-&@[#6]-&@1=&!@[#6]-&!@[#6])=&!@[#16]	0.3633111905978539
CHEMBL3232847	[#7]-&!@[#6]1:&@[#7]:&@[#6]:&@[#7]:&@[#6]2:&@[#6]:&@1-&@[#7]=,-;@[#6](-&@[#6]-&@[#8]-&@2)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.7089898053753475
CHEMBL3232708	[#6]-&!@[#6]-&!@[#7]1-&@[#6]-&@[#6]-&@[#6]2-&@[#6](-&@[#6]-&@1)-&@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&@[#7]-&@2	0.5013927576601671
CHEMBL3286316	[#8]=&!@[#6](-&!@[#6]=,-;!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#7]-&!@[#6]	0.5517241379310345
CHEMBL3297742	[#6]1:,-;@[#6]:,-;@[#6]:,-;@[#6]-,:;@[#6]-,:;@[#7]-,:;@[#6]-,:;@[#6]-,:;@[#6]:,-;@[#7]:,-;@1	0.4259438528557599
CHEMBL3352559	[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.2567237163814181
CHEMBL3351225	[#8]=&!@[#6](-&!@[#7]-&!@[#6]-&!@[#6]1-&@[#8]-&@[#6](-&@[#7]-&@[#6]-&@1)=&!@[#8])-&!@[#6]	0.33525014376078205
CHEMBL3352820	[#6]-&!@[#7](-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#6]	0.43076923076923074
CHEMBL3352189	[#6]1:&@[#6]:&@[#6](-&!@[#7]):&@[#6]:&@[#6]:&@[#6]:&@1	0.24912485414235708
CHEMBL3351528	[#8]=&!@[#6](-&!@[#7]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#7]1-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@1)-&!@[#6])-&!@[#6]	0.5189873417721519
