doc_id,doc_chembl_id,molregno,compound_chembl_id,compound_type,assay_count,canonical_smiles
106156,CHEMBL4052831,2242349,CHEMBL4102438,local,3,O=C(Nc1cc(C2(C(F)(F)F)CC2)on1)n1ccc2cc(Oc3ncnc4c3CNC4)ccc21
106156,CHEMBL4052831,2242799,CHEMBL4102888,local,3,O=C(Nc1cc(C2CC2)on1)n1ccc2cc(Oc3cc(Cn4ncnn4)ncn3)ccc21
106156,CHEMBL4052831,2243294,CHEMBL4103383,local,3,O=C(Nc1cc(C2CCOCC2)on1)n1ccc2cc(Oc3ncnc4c3CNC4)ccc21
106156,CHEMBL4052831,2244208,CHEMBL4104297,local,3,Nc1nccc(Oc2ccc3c(C(=O)Nc4cccc(C(F)(F)F)c4)cccc3c2)n1
106381,CHEMBL4118236,2258125,CHEMBL4126434,local,59,O=C(O)CNC(=O)c1ncc(-c2cn(CCCc3ccc(Cl)cc3)nn2)cc1O
106381,CHEMBL4118236,1528018,CHEMBL2338329,reference,26,Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12
106381,CHEMBL4118236,2261246,CHEMBL4129555,local,18,O=C(O)CNC(=O)c1ncc(-c2cn(CCc3ccc(Cl)cc3)nn2)cc1O
106381,CHEMBL4118236,2257547,CHEMBL4125856,local,5,CC(c1ccc(Cl)cc1)n1cc(-c2cnc(C(=O)NCC(=O)O)c(O)c2)nn1
106381,CHEMBL4118236,2257947,CHEMBL4126256,local,5,O=C(O)CNC(=O)c1ncc(-c2cn(CCOc3ccc(Cl)cc3)nn2)cc1O
106381,CHEMBL4118236,2258923,CHEMBL4127232,local,5,CCC(c1ccc(Cl)cc1)n1cc(-c2cnc(C(=O)NCC(=O)O)c(O)c2)nn1
106381,CHEMBL4118236,2260011,CHEMBL4128320,local,5,O=C(O)CNC(=O)c1ncc(-c2cn(CCCOc3ccc(Cl)cc3)nn2)cc1O
106381,CHEMBL4118236,2261416,CHEMBL4129725,local,5,O=C(O)CNC(=O)c1ncc(-c2cn(Cc3ccc(Cl)cc3)nn2)cc1O
106381,CHEMBL4118236,2260219,CHEMBL4128528,local,2,COC(=O)CNC(=O)c1ncc(-c2cn(Cc3ccccc3)nn2)cc1O
106381,CHEMBL4118236,2260361,CHEMBL4128670,local,2,COc1cc(-c2cn(Cc3ccccc3)nn2)cnc1C(=O)NCC(=O)O
106381,CHEMBL4118236,2260458,CHEMBL4128767,local,2,O=C(O)CNC(=O)c1ncc(-c2cn(Cc3ccccc3)nn2)cc1O
106381,CHEMBL4118236,2260822,CHEMBL4129131,local,2,O=C(O)CNC(=O)c1ccc2cc(-c3cn(Cc4ccccc4)nn3)ccc2n1
106381,CHEMBL4118236,2257738,CHEMBL4126047,local,1,O=C(O)CNC(=O)c1ncc(-c2cn(Cc3ccc(Br)cc3)nn2)cc1O
106381,CHEMBL4118236,2257895,CHEMBL4126204,local,1,O=C(O)CNC(=O)c1ncc(-c2cn(Cc3ccc(F)cc3)nn2)cc1O
106381,CHEMBL4118236,2257948,CHEMBL4126257,local,1,O=C(O)CNC(=O)c1ncc(-c2cn(-c3ccccc3)nn2)cc1O
106381,CHEMBL4118236,2258098,CHEMBL4126407,local,1,Cc1ccc(Cn2cc(-c3cnc(C(=O)NCC(=O)O)c(O)c3)nn2)cc1C
106381,CHEMBL4118236,2258375,CHEMBL4126684,local,1,O=C(O)CNC(=O)c1ncc(-c2cn(-c3ccc(Cl)cc3)nn2)cc1O
106381,CHEMBL4118236,2258777,CHEMBL4127086,local,1,COc1ccc(-n2cc(-c3cnc(C(=O)NCC(=O)O)c(O)c3)nn2)cc1
106381,CHEMBL4118236,2258977,CHEMBL4127286,local,1,C#Cc1cnc(C(=O)NCC(=O)O)c(O)c1
106381,CHEMBL4118236,2259031,CHEMBL4127340,local,1,O=C(O)CNC(=O)c1ncc(-c2cn(C(c3ccc(Cl)cc3)c3ccc(Cl)cc3)nn2)cc1O
106381,CHEMBL4118236,2259120,CHEMBL4127429,local,1,O=C(O)CNC(=O)c1ncc(-c2cn(Cc3ccc(I)cc3)nn2)cc1O
106381,CHEMBL4118236,2259182,CHEMBL4127491,local,1,O=C(O)CNC(=O)c1ncc(-c2cn(Cc3ccc4ccccc4c3)nn2)cc1O
106381,CHEMBL4118236,2259233,CHEMBL4127542,local,1,O=C(O)CNC(=O)c1ncc(-c2cn(Cc3ccc(C(F)(F)F)cc3)nn2)cc1O
106381,CHEMBL4118236,2259322,CHEMBL4127631,local,1,O=C(O)CNC(=O)c1ncc(-c2cn(Cc3ccc(-c4ccccc4)cc3)nn2)cc1O
106381,CHEMBL4118236,2260160,CHEMBL4128469,local,1,CC(c1ccccc1)n1cc(-c2cnc(C(=O)NCC(=O)O)c(O)c2)nn1
106381,CHEMBL4118236,2260161,CHEMBL4128470,local,1,O=C(O)CNC(=O)c1ncc(-c2cn(Cc3ccc(Cl)c(Cl)c3)nn2)cc1O
106381,CHEMBL4118236,2260575,CHEMBL4128884,local,1,O=C(O)CNC(=O)c1ncc(-c2cn(Cc3ccc(Cl)cc3Cl)nn2)cc1O
106381,CHEMBL4118236,2260634,CHEMBL4128943,local,1,CC(C)(C)c1ccc(Cn2cc(-c3cnc(C(=O)NCC(=O)O)c(O)c3)nn2)cc1
